customer_id,age,gender,income,loan_type,loan_amount,interest_rate,loan_term,loan_interest_rate,credit_score,employment_status,marital_status,remediation_strategy,missed_payments,missed_payments_duration,successful,timestamp
613705,43,Female,39266,Student,381532,0.08,17,8.0,361,Unemployed,Divorced,Deferment,12,3,True,2022-09-20
352547,53,Male,185152,Business,160572,0.11,34,11.0,807,Self-employed,Divorced,Loan Restructuring,11,8,False,2018-01-31
808473,55,Male,27518,Home,453894,0.16,48,16.0,378,Self-employed,Divorced,Refinancing,6,11,True,2018-07-13
736804,54,Male,50405,Student,296072,0.14,37,14.000000000000002,519,Employed,Married,Refinancing,11,10,True,2020-02-09
787599,57,Male,131086,Personal,387079,0.13,14,13.0,632,Employed,Married,Loan Restructuring,5,3,True,2022-05-07
490173,23,Male,143438,Auto,447179,0.1,47,10.0,353,Unemployed,Single,Forbearance,4,7,False,2018-12-29
601724,37,Male,185760,Personal,162973,0.14,35,14.000000000000002,354,Self-employed,Divorced,Loan Restructuring,12,3,True,2019-08-31
356643,34,Male,184950,Business,49351,0.11,24,11.0,529,Unemployed,Divorced,Debt Consolidation,2,5,True,2023-09-10
339124,41,Female,45749,Student,84843,0.13,58,13.0,523,Self-employed,Married,Forbearance,3,7,True,2023-03-13
454449,47,Male,162364,Personal,18289,0.12,24,12.0,787,Employed,Divorced,Refinancing,7,7,True,2018-01-12
953480,37,Male,46874,Personal,325103,0.19,12,19.0,427,Self-employed,Married,Debt Consolidation,9,4,False,2021-10-18
171925,48,Male,137869,Business,15763,0.11,23,11.0,360,Unemployed,Divorced,Loan Restructuring,9,3,False,2023-09-28
728859,37,Female,171044,Auto,280860,0.17,55,17.0,711,Self-employed,Married,Deferment,6,7,False,2019-10-09
898843,64,Male,22997,Home,30065,0.17,27,17.0,776,Self-employed,Divorced,Loan Restructuring,11,12,True,2019-07-04
71970,56,Male,145626,Student,217793,0.19,37,19.0,415,Unemployed,Married,Deferment,1,6,False,2022-07-02
212903,34,Male,53023,Home,253005,0.08,57,8.0,345,Unemployed,Divorced,Debt Consolidation,11,2,False,2018-03-01
222456,49,Female,78123,Student,168331,0.16,25,16.0,518,Self-employed,Married,Deferment,4,12,True,2018-06-23
978981,43,Male,126174,Student,180751,0.11,41,11.0,608,Employed,Married,Debt Consolidation,11,11,True,2023-01-30
308578,27,Female,67232,Home,183179,0.18,25,18.0,676,Self-employed,Single,Refinancing,3,7,True,2022-11-09
251103,41,Male,34043,Auto,490267,0.08,51,8.0,540,Self-employed,Single,Debt Consolidation,10,10,False,2022-08-27
153922,18,Female,186204,Auto,319050,0.12,31,12.0,483,Self-employed,Single,Refinancing,6,4,True,2021-06-07
952270,27,Male,184425,Personal,381567,0.06,46,6.0,684,Employed,Married,Deferment,0,0,False,2020-02-11
706261,58,Female,50749,Business,464469,0.19,43,19.0,315,Employed,Married,Loan Restructuring,8,5,False,2018-02-06
34981,43,Female,86057,Student,67491,0.05,27,5.0,631,Employed,Married,Deferment,1,5,True,2018-04-04
657642,49,Male,126213,Personal,320177,0.14,20,14.000000000000002,476,Employed,Married,Debt Consolidation,1,8,False,2018-01-27
743722,56,Male,65172,Student,200314,0.15,39,15.0,687,Unemployed,Married,Forbearance,0,0,False,2018-01-05
728336,58,Male,68312,Home,120708,0.18,38,18.0,572,Unemployed,Married,Deferment,7,5,True,2023-05-30
190900,58,Male,190962,Business,224430,0.1,34,10.0,394,Employed,Divorced,Loan Restructuring,0,0,True,2022-05-13
426946,46,Male,96476,Student,319037,0.08,18,8.0,754,Employed,Divorced,Refinancing,7,8,True,2020-05-22
142014,42,Male,33713,Auto,383148,0.16,34,16.0,685,Unemployed,Divorced,Payment Reminder,4,6,False,2019-08-03
970041,34,Male,48060,Personal,16842,0.08,47,8.0,546,Self-employed,Divorced,Deferment,11,5,False,2020-03-17
333811,29,Male,108509,Auto,291274,0.12,27,12.0,317,Employed,Married,Refinancing,4,10,True,2020-06-21
493326,39,Female,47954,Personal,429539,0.1,40,10.0,458,Employed,Divorced,Refinancing,2,9,True,2021-02-14
749449,35,Male,192069,Personal,261660,0.18,15,18.0,796,Unemployed,Divorced,Deferment,10,3,True,2023-04-04
89158,21,Female,170723,Home,359958,0.09,21,9.0,435,Unemployed,Married,Loan Restructuring,7,1,False,2021-12-30
326882,35,Female,199852,Personal,51091,0.12,30,12.0,385,Unemployed,Single,Refinancing,9,9,True,2023-06-26
244320,25,Female,40501,Business,139422,0.13,15,13.0,455,Employed,Single,Forbearance,12,9,False,2020-12-23
939122,28,Male,43853,Personal,93811,0.11,30,11.0,839,Unemployed,Married,Deferment,5,3,False,2021-04-29
763168,61,Female,108565,Personal,273854,0.12,60,12.0,812,Unemployed,Married,Payment Reminder,5,10,True,2021-08-16
55504,37,Female,185143,Business,207777,0.2,20,20.0,373,Employed,Single,Forbearance,3,7,True,2018-08-23
586423,56,Female,29269,Student,482088,0.14,14,14.000000000000002,574,Employed,Single,Debt Consolidation,12,8,False,2024-01-13
265299,19,Female,37255,Home,70312,0.13,21,13.0,775,Employed,Married,Forbearance,1,8,True,2023-01-05
815177,49,Female,119364,Auto,317422,0.1,48,10.0,818,Self-employed,Married,Payment Reminder,9,9,False,2018-08-16
611870,54,Female,125998,Student,269995,0.18,19,18.0,616,Self-employed,Single,Refinancing,4,10,True,2019-03-06
714167,46,Female,57088,Auto,160256,0.1,31,10.0,338,Unemployed,Single,Deferment,9,6,True,2019-10-10
188978,26,Male,73480,Student,357283,0.18,37,18.0,681,Self-employed,Married,Payment Reminder,9,3,False,2018-08-24
887195,55,Male,98858,Business,29704,0.16,60,16.0,558,Unemployed,Married,Refinancing,10,11,False,2022-07-23
247780,36,Male,87427,Auto,103052,0.11,59,11.0,364,Unemployed,Married,Forbearance,0,0,True,2018-10-04
235595,46,Male,82773,Home,107516,0.1,49,10.0,751,Unemployed,Divorced,Debt Consolidation,7,11,False,2022-12-03
306867,29,Male,156105,Personal,322162,0.06,30,6.0,302,Employed,Single,Debt Consolidation,0,0,True,2022-02-12
827492,19,Male,64844,Personal,354870,0.18,19,18.0,656,Unemployed,Single,Deferment,9,7,True,2022-09-02
796214,62,Male,156658,Student,454918,0.07,22,7.000000000000001,537,Employed,Divorced,Forbearance,7,3,False,2020-06-23
22029,44,Male,46980,Home,352526,0.16,16,16.0,841,Self-employed,Married,Refinancing,5,12,False,2018-08-16
483372,27,Male,34511,Business,150866,0.08,25,8.0,551,Unemployed,Married,Deferment,0,0,True,2022-12-07
710257,22,Male,79053,Home,31488,0.11,27,11.0,659,Employed,Single,Refinancing,6,12,False,2021-12-03
268527,18,Female,196956,Personal,265393,0.08,28,8.0,477,Unemployed,Single,Debt Consolidation,11,9,True,2022-08-05
39688,42,Male,29450,Student,151719,0.19,14,19.0,394,Unemployed,Single,Payment Reminder,12,1,True,2023-03-20
93053,22,Male,189825,Auto,145716,0.1,19,10.0,844,Self-employed,Divorced,Debt Consolidation,8,11,True,2023-02-16
961680,40,Female,168076,Personal,123307,0.18,15,18.0,440,Employed,Divorced,Forbearance,8,12,False,2018-03-13
574118,46,Female,145360,Personal,73231,0.19,15,19.0,450,Unemployed,Married,Debt Consolidation,11,3,True,2018-06-05
434354,29,Female,177067,Business,489461,0.19,36,19.0,324,Employed,Divorced,Forbearance,4,3,False,2022-08-09
675641,61,Male,38485,Personal,419154,0.1,28,10.0,574,Employed,Married,Deferment,5,4,False,2022-09-04
928244,24,Male,197567,Student,365417,0.11,42,11.0,647,Unemployed,Married,Refinancing,4,2,False,2019-04-15
993998,63,Female,111605,Personal,317695,0.12,58,12.0,846,Employed,Married,Debt Consolidation,9,11,False,2019-06-04
945348,58,Male,40601,Auto,328685,0.11,18,11.0,462,Unemployed,Single,Deferment,10,9,False,2021-05-27
296177,28,Male,157277,Auto,272737,0.14,35,14.000000000000002,708,Self-employed,Single,Forbearance,12,4,True,2019-07-03
118313,57,Female,46991,Auto,225388,0.19,51,19.0,798,Self-employed,Divorced,Deferment,4,8,True,2019-12-06
794072,59,Female,42727,Student,95556,0.2,47,20.0,404,Unemployed,Married,Loan Restructuring,12,12,False,2018-07-22
920525,63,Male,186029,Business,43504,0.12,18,12.0,586,Self-employed,Divorced,Loan Restructuring,12,3,False,2019-10-23
184359,28,Male,171501,Student,478252,0.05,27,5.0,812,Self-employed,Married,Refinancing,6,5,False,2024-01-13
684034,51,Female,165639,Business,409998,0.11,15,11.0,821,Employed,Single,Loan Restructuring,9,9,False,2019-09-27
551240,47,Female,52997,Auto,198662,0.05,57,5.0,832,Self-employed,Single,Refinancing,11,8,True,2023-04-06
521399,31,Male,82134,Student,444601,0.14,41,14.000000000000002,439,Unemployed,Married,Deferment,7,8,False,2021-02-14
540933,33,Male,104906,Auto,393975,0.11,20,11.0,459,Self-employed,Single,Refinancing,9,10,False,2022-03-03
204067,36,Male,158397,Auto,307347,0.07,25,7.000000000000001,511,Employed,Divorced,Forbearance,3,12,False,2018-12-09
550174,36,Female,133866,Auto,262376,0.05,13,5.0,791,Employed,Single,Payment Reminder,7,10,False,2019-01-28
675137,51,Female,48990,Auto,33978,0.11,34,11.0,675,Employed,Single,Loan Restructuring,5,4,True,2023-03-15
842574,28,Female,33003,Business,132008,0.09,34,9.0,351,Unemployed,Single,Debt Consolidation,10,2,False,2023-10-19
187134,62,Male,186592,Business,98202,0.06,35,6.0,713,Unemployed,Married,Loan Restructuring,3,5,False,2021-06-15
679473,61,Female,153295,Home,352329,0.06,59,6.0,846,Employed,Single,Deferment,7,12,True,2021-02-25
632712,43,Female,42424,Home,478203,0.11,36,11.0,341,Employed,Single,Forbearance,7,12,False,2021-11-06
824283,65,Female,131626,Personal,272118,0.17,23,17.0,343,Employed,Married,Deferment,6,1,True,2018-12-06
415115,22,Male,113463,Student,201316,0.08,23,8.0,501,Employed,Single,Loan Restructuring,8,7,False,2021-05-23
299435,58,Male,141305,Business,362757,0.05,12,5.0,425,Self-employed,Divorced,Forbearance,9,10,True,2019-12-15
13530,65,Male,76262,Student,356551,0.2,48,20.0,551,Unemployed,Married,Loan Restructuring,12,12,False,2020-02-07
824792,21,Male,157832,Home,86954,0.16,18,16.0,633,Self-employed,Divorced,Loan Restructuring,3,4,False,2018-06-07
724728,48,Male,79824,Personal,422543,0.05,26,5.0,650,Self-employed,Single,Deferment,11,8,False,2020-05-09
529464,51,Male,80966,Business,101587,0.15,53,15.0,491,Self-employed,Single,Debt Consolidation,9,12,False,2020-12-23
143886,56,Male,31649,Business,264401,0.06,19,6.0,665,Self-employed,Married,Deferment,11,11,True,2021-11-21
94839,59,Female,176880,Student,110953,0.15,18,15.0,761,Self-employed,Single,Debt Consolidation,2,7,True,2021-12-18
235545,42,Female,158789,Business,441400,0.14,16,14.000000000000002,446,Self-employed,Divorced,Debt Consolidation,1,12,False,2024-01-19
343059,35,Female,189895,Auto,179909,0.12,43,12.0,760,Employed,Divorced,Debt Consolidation,5,1,False,2022-07-22
306800,62,Male,151214,Business,362102,0.16,28,16.0,389,Unemployed,Married,Refinancing,5,1,False,2019-01-30
641419,35,Female,73340,Business,125884,0.13,48,13.0,475,Employed,Married,Loan Restructuring,1,8,True,2021-10-22
985371,36,Male,117361,Student,215523,0.17,35,17.0,329,Unemployed,Married,Loan Restructuring,10,8,True,2022-11-27
343434,26,Male,186047,Student,482602,0.11,27,11.0,355,Employed,Single,Deferment,1,12,False,2021-05-26
372830,33,Female,132148,Auto,350599,0.11,15,11.0,482,Unemployed,Single,Debt Consolidation,6,9,False,2019-06-24
277451,56,Female,86790,Auto,419286,0.14,60,14.000000000000002,440,Employed,Married,Debt Consolidation,5,2,False,2018-12-25
69536,55,Female,48360,Personal,201616,0.12,28,12.0,526,Self-employed,Single,Deferment,2,12,True,2018-11-10
162577,53,Male,63819,Personal,187715,0.2,59,20.0,472,Unemployed,Divorced,Deferment,5,10,True,2020-08-14
756835,65,Male,112572,Student,79918,0.19,19,19.0,812,Unemployed,Single,Forbearance,12,7,False,2022-01-05
309392,47,Male,48261,Student,343199,0.19,35,19.0,682,Unemployed,Married,Deferment,12,12,False,2020-07-07
932057,40,Male,56240,Student,367975,0.07,52,7.000000000000001,753,Unemployed,Single,Deferment,1,4,True,2022-11-08
862686,51,Female,78451,Personal,173532,0.09,16,9.0,658,Employed,Single,Loan Restructuring,10,5,False,2022-07-04
288573,58,Female,123967,Business,447177,0.11,36,11.0,661,Employed,Married,Loan Restructuring,8,7,True,2022-11-20
590790,22,Male,24017,Auto,114379,0.09,59,9.0,442,Self-employed,Single,Payment Reminder,4,2,True,2019-08-29
739213,40,Female,54864,Personal,312408,0.06,49,6.0,672,Unemployed,Divorced,Deferment,7,10,False,2019-10-22
727185,30,Male,186436,Business,50191,0.2,57,20.0,777,Unemployed,Divorced,Loan Restructuring,2,11,False,2023-04-30
58279,37,Male,108592,Business,245437,0.14,45,14.000000000000002,496,Unemployed,Divorced,Payment Reminder,4,11,True,2018-12-07
326689,54,Female,199845,Auto,183129,0.18,59,18.0,632,Self-employed,Married,Debt Consolidation,9,7,False,2020-05-24
560930,47,Male,118610,Personal,375151,0.09,24,9.0,397,Self-employed,Divorced,Deferment,6,10,True,2021-01-13
819527,18,Female,106610,Student,415586,0.15,14,15.0,566,Employed,Single,Deferment,8,5,False,2023-04-06
626327,52,Female,119777,Home,14572,0.08,41,8.0,824,Self-employed,Single,Debt Consolidation,3,8,False,2022-10-23
871835,41,Female,90738,Home,200378,0.1,34,10.0,712,Employed,Single,Loan Restructuring,12,12,True,2022-03-12
730172,46,Male,67380,Home,228972,0.18,57,18.0,548,Employed,Married,Loan Restructuring,8,12,True,2020-02-01
874524,53,Male,46482,Auto,410420,0.19,39,19.0,520,Employed,Married,Loan Restructuring,0,0,True,2019-10-30
855949,28,Male,24603,Personal,364266,0.06,47,6.0,814,Employed,Single,Deferment,11,7,False,2019-08-01
746344,41,Male,74525,Business,404697,0.13,49,13.0,417,Self-employed,Single,Payment Reminder,4,7,True,2023-08-13
891259,27,Female,101406,Personal,16124,0.08,40,8.0,335,Self-employed,Single,Deferment,5,1,True,2023-06-18
942513,21,Male,118258,Personal,391710,0.06,44,6.0,622,Self-employed,Married,Deferment,2,12,True,2019-09-23
145824,47,Male,191387,Personal,34639,0.05,45,5.0,631,Employed,Married,Forbearance,0,0,False,2018-11-04
700950,64,Male,53236,Student,109965,0.17,17,17.0,308,Employed,Married,Debt Consolidation,9,3,False,2020-10-27
395141,54,Female,94014,Business,13044,0.16,39,16.0,465,Employed,Divorced,Deferment,4,7,False,2024-02-11
956254,55,Male,59073,Student,260220,0.08,29,8.0,599,Self-employed,Married,Payment Reminder,0,0,False,2018-11-11
655303,55,Female,82232,Business,376403,0.19,41,19.0,826,Employed,Married,Deferment,1,10,False,2018-09-03
286307,41,Female,180294,Auto,19782,0.09,22,9.0,502,Self-employed,Married,Debt Consolidation,5,8,False,2021-11-26
408856,42,Female,189239,Personal,194624,0.18,53,18.0,356,Self-employed,Married,Forbearance,11,11,True,2020-06-25
238993,28,Female,129562,Business,27910,0.08,52,8.0,696,Employed,Divorced,Debt Consolidation,9,3,True,2020-09-23
331179,38,Male,149672,Business,182699,0.13,15,13.0,655,Self-employed,Married,Deferment,7,5,False,2022-04-28
863619,45,Male,106129,Personal,63801,0.17,20,17.0,790,Employed,Married,Payment Reminder,7,2,False,2022-07-15
388841,51,Female,140610,Personal,346825,0.2,38,20.0,744,Self-employed,Married,Payment Reminder,4,1,False,2022-10-06
463292,48,Male,47694,Auto,451468,0.07,33,7.000000000000001,727,Self-employed,Single,Payment Reminder,2,8,False,2021-08-13
887519,35,Female,64034,Student,247144,0.05,20,5.0,413,Employed,Divorced,Deferment,5,9,False,2020-03-01
106826,51,Male,48754,Business,63137,0.12,48,12.0,606,Unemployed,Divorced,Refinancing,1,3,False,2022-11-23
393665,27,Female,22373,Home,120672,0.17,18,17.0,632,Self-employed,Single,Deferment,9,7,False,2019-04-27
220147,57,Male,35871,Auto,28817,0.1,59,10.0,536,Unemployed,Married,Loan Restructuring,5,7,True,2019-02-16
810416,64,Male,93448,Business,449662,0.2,33,20.0,552,Self-employed,Divorced,Deferment,1,6,False,2023-05-13
221096,52,Female,67427,Student,171890,0.16,31,16.0,690,Employed,Single,Payment Reminder,10,2,False,2021-01-08
586998,45,Female,75161,Home,375976,0.16,15,16.0,830,Self-employed,Married,Debt Consolidation,9,7,True,2018-09-30
650133,53,Male,52046,Personal,382944,0.08,37,8.0,562,Employed,Divorced,Debt Consolidation,0,0,False,2021-08-03
208355,32,Male,27737,Personal,433923,0.17,18,17.0,313,Unemployed,Divorced,Deferment,5,6,False,2019-05-11
186456,38,Female,26800,Business,369379,0.19,20,19.0,756,Employed,Married,Forbearance,6,6,False,2018-08-23
120309,34,Female,117285,Personal,261650,0.14,50,14.000000000000002,571,Self-employed,Married,Deferment,11,2,False,2020-05-10
98278,58,Female,106931,Auto,381978,0.07,29,7.000000000000001,818,Unemployed,Single,Loan Restructuring,0,0,False,2020-06-22
765944,39,Male,173927,Student,408017,0.11,42,11.0,762,Self-employed,Single,Refinancing,0,0,False,2019-06-15
237785,52,Male,105137,Student,294962,0.09,26,9.0,491,Unemployed,Married,Deferment,10,11,True,2023-02-14
557781,62,Male,194888,Auto,492558,0.08,25,8.0,513,Unemployed,Single,Deferment,8,5,True,2022-10-25
977891,38,Male,59924,Student,10111,0.08,43,8.0,648,Unemployed,Married,Payment Reminder,9,4,False,2019-03-23
101454,60,Female,59882,Personal,232787,0.07,53,7.000000000000001,781,Employed,Divorced,Deferment,9,1,True,2019-08-07
28018,24,Male,176711,Personal,67773,0.15,31,15.0,508,Self-employed,Married,Payment Reminder,5,5,False,2018-04-15
20475,21,Male,73568,Auto,28167,0.14,56,14.000000000000002,532,Self-employed,Divorced,Refinancing,6,10,True,2022-10-10
175425,62,Male,125278,Auto,278002,0.06,43,6.0,707,Self-employed,Single,Loan Restructuring,11,2,False,2021-11-01
4319,22,Female,150952,Student,187678,0.13,57,13.0,741,Unemployed,Single,Refinancing,4,8,True,2021-03-19
13337,55,Male,27805,Business,432204,0.2,36,20.0,674,Unemployed,Single,Refinancing,8,12,True,2022-11-10
203700,43,Female,176621,Business,256163,0.14,47,14.000000000000002,517,Self-employed,Married,Loan Restructuring,11,11,True,2018-01-28
810673,34,Male,101042,Home,435492,0.06,48,6.0,302,Unemployed,Single,Deferment,2,10,True,2023-08-31
126180,40,Male,172448,Personal,368594,0.14,43,14.000000000000002,312,Self-employed,Divorced,Debt Consolidation,2,2,False,2020-05-07
700669,49,Female,157823,Business,33580,0.06,43,6.0,305,Self-employed,Single,Loan Restructuring,1,1,False,2023-12-19
755125,37,Male,67798,Auto,17910,0.11,36,11.0,813,Self-employed,Married,Debt Consolidation,6,6,True,2021-09-19
482004,56,Male,71533,Student,496834,0.09,22,9.0,752,Employed,Single,Deferment,6,2,True,2018-10-26
492593,26,Female,65852,Auto,333882,0.16,35,16.0,734,Self-employed,Divorced,Forbearance,11,1,False,2019-04-15
395873,35,Male,62674,Personal,256985,0.2,49,20.0,301,Employed,Married,Forbearance,1,1,False,2020-04-12
968525,51,Male,133229,Auto,53949,0.08,20,8.0,691,Employed,Divorced,Loan Restructuring,10,8,False,2019-12-14
161141,35,Female,117707,Student,140234,0.05,25,5.0,307,Unemployed,Divorced,Refinancing,4,8,False,2022-01-07
827161,35,Female,122556,Business,92387,0.13,47,13.0,300,Unemployed,Single,Payment Reminder,1,5,False,2020-06-20
525398,57,Female,166845,Student,325705,0.07,46,7.000000000000001,394,Self-employed,Married,Loan Restructuring,2,6,False,2020-04-04
21741,46,Male,162110,Home,98708,0.12,12,12.0,469,Employed,Married,Refinancing,6,11,False,2018-06-15
343781,46,Female,168204,Home,292414,0.15,23,15.0,375,Unemployed,Single,Forbearance,8,2,False,2023-09-14
64240,36,Female,141946,Business,176702,0.05,53,5.0,623,Unemployed,Single,Debt Consolidation,4,7,True,2023-09-19
807341,49,Male,119170,Business,269057,0.16,46,16.0,450,Unemployed,Single,Loan Restructuring,9,12,True,2023-03-07
134324,18,Male,163793,Personal,54518,0.16,42,16.0,661,Self-employed,Single,Debt Consolidation,0,0,False,2023-02-04
688028,56,Male,191360,Business,367592,0.06,16,6.0,503,Self-employed,Single,Deferment,2,6,False,2022-10-27
112667,37,Male,107595,Personal,65034,0.06,31,6.0,797,Employed,Single,Deferment,3,11,True,2023-07-20
974016,27,Female,139449,Auto,233069,0.07,14,7.000000000000001,821,Unemployed,Divorced,Loan Restructuring,4,2,False,2022-02-04
519309,38,Female,94475,Home,26316,0.19,39,19.0,794,Self-employed,Married,Deferment,6,2,False,2018-02-21
79425,43,Female,52113,Business,212024,0.14,31,14.000000000000002,670,Employed,Divorced,Refinancing,10,12,True,2021-12-23
199110,24,Male,188552,Business,404214,0.2,27,20.0,787,Self-employed,Single,Forbearance,2,8,False,2020-11-01
355469,40,Female,54677,Personal,108518,0.07,22,7.000000000000001,316,Employed,Single,Forbearance,8,5,False,2019-05-01
482840,55,Male,75283,Home,320892,0.1,60,10.0,334,Employed,Single,Forbearance,7,9,True,2020-07-14
303770,57,Male,39811,Student,401126,0.17,55,17.0,440,Self-employed,Married,Loan Restructuring,7,2,True,2019-05-08
472245,62,Male,149810,Student,445749,0.17,32,17.0,415,Employed,Married,Deferment,6,10,True,2020-12-17
462808,52,Female,76451,Personal,377337,0.11,26,11.0,527,Employed,Married,Refinancing,4,1,True,2023-09-22
179785,62,Male,30140,Auto,36232,0.1,29,10.0,722,Employed,Single,Forbearance,2,5,True,2020-04-24
798066,30,Female,108160,Personal,278615,0.11,20,11.0,419,Unemployed,Married,Deferment,7,3,False,2019-04-22
574584,40,Female,109671,Student,87310,0.16,33,16.0,821,Self-employed,Divorced,Loan Restructuring,12,4,False,2021-01-30
758399,62,Female,63601,Personal,34757,0.08,59,8.0,659,Employed,Divorced,Loan Restructuring,5,5,True,2022-07-20
783810,27,Male,118834,Auto,302290,0.19,46,19.0,421,Employed,Single,Debt Consolidation,0,0,False,2023-09-26
870006,47,Male,56035,Personal,305354,0.13,43,13.0,654,Employed,Single,Deferment,5,3,False,2019-04-22
377164,47,Male,41591,Auto,212732,0.16,46,16.0,701,Self-employed,Married,Deferment,11,5,False,2020-11-22
897724,45,Female,40053,Personal,58017,0.07,40,7.000000000000001,710,Employed,Single,Forbearance,1,12,True,2021-07-04
252189,21,Male,122290,Business,30274,0.11,52,11.0,328,Unemployed,Single,Loan Restructuring,12,12,True,2018-08-15
85267,23,Male,44835,Personal,380103,0.13,34,13.0,354,Self-employed,Single,Loan Restructuring,4,6,False,2022-10-03
405462,65,Male,70803,Personal,235515,0.12,22,12.0,402,Unemployed,Single,Payment Reminder,12,6,False,2019-01-27
149916,65,Male,141217,Business,209012,0.09,59,9.0,330,Employed,Divorced,Debt Consolidation,9,6,True,2022-06-13
639714,25,Male,159252,Personal,323421,0.06,17,6.0,657,Employed,Divorced,Loan Restructuring,8,9,False,2021-07-10
79313,33,Female,101022,Student,35122,0.12,40,12.0,838,Self-employed,Married,Forbearance,1,5,False,2021-05-10
889783,64,Female,78601,Business,286219,0.15,29,15.0,579,Unemployed,Single,Forbearance,12,9,True,2018-05-12
909243,56,Female,39019,Auto,393679,0.19,27,19.0,552,Employed,Divorced,Forbearance,0,0,False,2021-04-15
723232,38,Female,148382,Auto,61430,0.07,46,7.000000000000001,522,Employed,Married,Loan Restructuring,9,12,False,2018-09-16
888195,23,Male,109980,Home,313139,0.07,22,7.000000000000001,423,Self-employed,Divorced,Forbearance,8,2,False,2021-08-07
813003,23,Male,175589,Student,294850,0.16,58,16.0,356,Employed,Divorced,Forbearance,3,1,False,2020-10-10
616939,20,Female,167765,Student,329424,0.2,59,20.0,422,Unemployed,Divorced,Refinancing,10,8,True,2022-09-18
187478,57,Male,88616,Personal,28235,0.05,55,5.0,348,Self-employed,Single,Deferment,12,1,True,2021-07-15
593603,61,Male,58310,Auto,95775,0.11,14,11.0,463,Unemployed,Single,Forbearance,1,6,True,2020-09-21
363683,46,Male,105449,Personal,45399,0.15,32,15.0,740,Self-employed,Married,Debt Consolidation,0,0,False,2022-05-31
958873,55,Female,34044,Auto,233058,0.15,20,15.0,661,Unemployed,Married,Deferment,3,6,False,2022-10-15
572049,19,Male,111281,Student,407740,0.1,53,10.0,585,Self-employed,Single,Refinancing,3,12,False,2021-09-11
180433,19,Male,154775,Student,242658,0.11,60,11.0,416,Self-employed,Single,Forbearance,10,3,False,2021-08-29
104061,26,Female,61790,Business,428092,0.08,30,8.0,770,Employed,Married,Debt Consolidation,10,12,True,2023-01-25
534021,46,Male,153767,Business,323247,0.13,12,13.0,317,Employed,Divorced,Refinancing,0,0,False,2018-11-15
558553,28,Male,91634,Auto,408181,0.12,50,12.0,677,Unemployed,Divorced,Deferment,6,6,True,2019-12-12
182271,28,Male,158264,Home,411221,0.17,24,17.0,423,Self-employed,Single,Payment Reminder,5,5,True,2021-08-17
482705,56,Male,136097,Auto,58662,0.19,35,19.0,841,Unemployed,Divorced,Forbearance,5,6,False,2018-06-06
288001,24,Female,154094,Home,33361,0.13,13,13.0,616,Employed,Single,Payment Reminder,5,6,False,2023-05-05
453619,25,Female,107662,Home,364922,0.16,45,16.0,486,Self-employed,Single,Debt Consolidation,6,9,True,2019-12-26
636204,37,Male,57565,Auto,409465,0.1,12,10.0,608,Self-employed,Married,Payment Reminder,2,5,False,2018-06-02
550349,51,Male,93586,Personal,290128,0.07,27,7.000000000000001,496,Unemployed,Single,Deferment,7,5,False,2024-01-13
377647,31,Female,137744,Student,450612,0.17,24,17.0,645,Employed,Married,Forbearance,12,5,True,2023-10-14
